date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:19	36120/36120	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/blog-details.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/blog-details.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:19	32605/32605	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:17%20GMT	https://templates.envytheme.com/ridgi/default/team.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/team.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:20	29526/29526	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/faq.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/faq.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:20	5738/5738	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/coming-soon.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/coming-soon.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:20	5380/5380	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/404.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/404.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:20	26295/26295	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:15%20GMT	https://templates.envytheme.com/ridgi/default/log-in.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/log-in.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:20	27310/27310	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:17%20GMT	https://templates.envytheme.com/ridgi/default/sign-up.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/sign-up.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:21	25469/25469	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/recover-password.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/recover-password.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:21	27960/27960	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/contact.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/contact.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:21	22320/22320	---M--	200	added ('OK')	image/png	etag:%22602a4adb-709e%22	https://templates.envytheme.com/ridgi/default/assets/img/flag/1.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/flag/1.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:21	20268/20268	---M--	200	added ('OK')	image/png	etag:%22602a4adb-5efb%22	https://templates.envytheme.com/ridgi/default/assets/img/flag/2.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/flag/2.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:22	19614/19614	---M--	200	added ('OK')	image/png	etag:%22602a4adb-5fbe%22	https://templates.envytheme.com/ridgi/default/assets/img/flag/3.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/flag/3.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:22	14768/14768	---M--	200	added ('OK')	image/png	etag:%22602a4adb-49d9%22	https://templates.envytheme.com/ridgi/default/assets/img/flag/4.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/flag/4.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:22	29824/29824	---M--	200	added ('OK')	image/jpeg	etag:%22602a4ade-79ad%22	https://templates.envytheme.com/ridgi/default/assets/img/offer/1.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/offer/1.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:22	153/153	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Aug%202022%2007:21:23%20GMT	https://templates.envytheme.com/ridgi/default/service-details	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/service-details	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:22	39079/39079	---M--	200	added ('OK')	image/jpeg	etag:%22602a4ade-9f85%22	https://templates.envytheme.com/ridgi/default/assets/img/offer/2.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/offer/2.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:23	30302/30302	---M--	200	added ('OK')	image/jpeg	etag:%22602a4ade-7c51%22	https://templates.envytheme.com/ridgi/default/assets/img/offer/3.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/offer/3.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:23	61129/61129	---M--	200	added ('OK')	image/jpeg	etag:%22602a4ab3-f7b8%22	https://templates.envytheme.com/ridgi/default/assets/img/choose-img.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/choose-img.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:23	46610/46610	---M--	200	added ('OK')	image/jpeg	etag:%22602a4aea-bd6c%22	https://templates.envytheme.com/ridgi/default/assets/img/vehicles/1.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/vehicles/1.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:23	34567/34567	---M--	200	added ('OK')	image/jpeg	etag:%22602a4aea-8e57%22	https://templates.envytheme.com/ridgi/default/assets/img/vehicles/2.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/vehicles/2.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:23	48999/48999	---M--	200	added ('OK')	image/jpeg	etag:%22602a4aea-c791%22	https://templates.envytheme.com/ridgi/default/assets/img/vehicles/3.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/vehicles/3.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:24	39425/39425	---M--	200	added ('OK')	image/jpeg	etag:%22602a4aea-a155%22	https://templates.envytheme.com/ridgi/default/assets/img/vehicles/4.jpg	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/vehicles/4.jpg	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:24	3166/3166	---M--	200	added ('OK')	image/png	etag:%22602a4ad4-163e%22	https://templates.envytheme.com/ridgi/default/assets/img/brand/1.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/brand/1.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:24	3684/3684	---M--	200	added ('OK')	image/png	etag:%22602a4ad4-16be%22	https://templates.envytheme.com/ridgi/default/assets/img/brand/2.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/brand/2.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:24	2948/2948	---M--	200	added ('OK')	image/png	etag:%22602a4ad5-139d%22	https://templates.envytheme.com/ridgi/default/assets/img/brand/3.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/brand/3.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:25	2591/2591	---M--	200	added ('OK')	image/png	etag:%22602a4ad5-189a%22	https://templates.envytheme.com/ridgi/default/assets/img/brand/4.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/brand/4.png	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:25	3125/3125	---M--	200	added ('OK')	image/png	etag:%22602a4ad5-17a1%22	https://templates.envytheme.com/ridgi/default/assets/img/brand/5.png	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/assets/img/brand/5.png	(from https://templates.envytheme.com/ridgi/default/index.html)
